branch_name,cohort_name,semester_number,student_count,mean_cgpa,cgpa_stddev,minimum_cgpa,maximum_cgpa,pct_at_least_8,pct_at_least_9
B.Tech Civil Engineering (Dual Degree Program with Macquarie University),second_year,3,5,6.56,1.43,4.43,7.93,0.00,0.00
B.Tech Electrical & Electronics Engineering (Dual Degree Program with Macquarie University),second_year,3,8,5.67,1.42,3.45,7.76,0.00,0.00
Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7,62,7.34,1.15,5.04,9.77,29.03,6.45
Bachelor of Technology (B.Tech.) in Aeronautical Engineering,third_year,5,72,7.46,1.18,4.80,9.76,34.72,11.11
Bachelor of Technology (B.Tech.) in Aeronautical Engineering,second_year,3,72,7.53,1.14,4.24,9.38,40.28,4.17
Bachelor of Technology (B.Tech.) in Automobile Engineering,fourth_year,7,29,6.59,0.84,4.98,8.95,6.90,0.00
Bachelor of Technology (B.Tech.) in Automobile Engineering,third_year,5,31,6.24,1.26,3.79,8.27,12.90,0.00
Bachelor of Technology (B.Tech.) in Automobile Engineering,second_year,3,25,6.33,1.37,3.95,8.55,12.00,0.00
Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,fourth_year,7,42,7.07,1.0,5.45,9.69,19.05,2.38
Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,third_year,5,46,6.88,1.08,5.07,9.45,19.57,4.35
Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,second_year,3,38,7.02,1.28,4.60,9.50,21.05,7.89
Bachelor of Technology (B.Tech.) in Biotechnology,fourth_year,7,69,7.40,0.92,5.26,9.39,30.43,1.45
Bachelor of Technology (B.Tech.) in Biotechnology,third_year,5,78,7.54,1.02,5.04,9.81,32.05,8.97
Bachelor of Technology (B.Tech.) in Biotechnology,second_year,3,66,7.61,1.37,2.53,9.81,45.45,9.09
Bachelor of Technology (B.Tech.) in Chemical Engineering,fourth_year,7,34,6.88,1.12,5.28,9.51,17.65,5.88
Bachelor of Technology (B.Tech.) in Chemical Engineering,third_year,5,45,6.82,1.18,4.21,9.41,13.33,2.22
Bachelor of Technology (B.Tech.) in Chemical Engineering,second_year,3,56,7.02,1.18,3.55,9.07,17.86,1.79
Bachelor of Technology (B.Tech.) in Civil Engineering,fourth_year,7,39,6.85,0.92,5.64,9.22,15.38,2.56
Bachelor of Technology (B.Tech.) in Civil Engineering,third_year,5,40,6.36,1.28,3.89,9.41,10.00,2.50
Bachelor of Technology (B.Tech.) in Civil Engineering,second_year,3,23,5.92,1.49,3.62,8.67,8.70,0.00
Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,fourth_year,7,72,7.92,0.95,5.40,9.60,51.39,12.50
Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,third_year,5,73,7.59,1.23,4.64,9.59,47.95,6.85
Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,second_year,3,75,6.94,1.27,2.22,9.45,14.67,2.67
Bachelor of Technology (B.Tech.) in Computer Science and Engineering,fourth_year,7,260,7.41,1.26,4.88,9.96,36.92,10.77
Bachelor of Technology (B.Tech.) in Computer Science and Engineering,third_year,5,295,7.89,1.21,4.03,9.82,55.25,14.92
Bachelor of Technology (B.Tech.) in Computer Science and Engineering,second_year,3,1169,7.60,1.14,0.00,9.88,40.29,7.53
Bachelor of Technology (B.Tech.) in Cyber Physical Systems,fourth_year,7,61,7.03,0.97,5.01,9.34,14.75,3.28
Bachelor of Technology (B.Tech.) in Cyber Physical Systems,third_year,5,112,6.62,1.04,3.86,9.18,8.93,0.89
