branch_name,cohort_name,student_count,mean_cgpa,median_cgpa,count_cgpa_at_least_6,pct_cgpa_at_least_6,count_cgpa_at_least_7,pct_cgpa_at_least_7,count_cgpa_at_least_8,pct_cgpa_at_least_8,count_cgpa_at_least_9,pct_cgpa_at_least_9
Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,62,7.34,7.50,52,83.87,37,59.68,18,29.03,4,6.45
Bachelor of Technology (B.Tech.) in Automobile Engineering,fourth_year,29,6.59,6.33,22,75.86,10,34.48,2,6.90,0,0.00
Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,fourth_year,42,7.07,6.98,37,88.10,21,50.00,8,19.05,1,2.38
Bachelor of Technology (B.Tech.) in Biotechnology,fourth_year,69,7.40,7.36,64,92.75,45,65.22,21,30.43,1,1.45
Bachelor of Technology (B.Tech.) in Chemical Engineering,fourth_year,34,6.88,6.72,27,79.41,13,38.24,6,17.65,2,5.88
Bachelor of Technology (B.Tech.) in Civil Engineering,fourth_year,39,6.85,6.63,33,84.62,15,38.46,6,15.38,1,2.56
Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,fourth_year,72,7.92,8.05,70,97.22,60,83.33,37,51.39,9,12.50
Bachelor of Technology (B.Tech.) in Computer Science and Engineering,fourth_year,260,7.41,7.49,218,83.85,160,61.54,96,36.92,28,10.77
Bachelor of Technology (B.Tech.) in Cyber Physical Systems,fourth_year,61,7.03,7.02,53,86.89,31,50.82,9,14.75,2,3.28
Bachelor of Technology (B.Tech.) in Electrical and Electronics Engineering,fourth_year,158,6.68,6.72,114,72.15,59,37.34,12,7.59,1,0.63
Bachelor of Technology (B.Tech.) in Electronics Engineering (VLSI Design and Technology),fourth_year,69,7.02,6.85,61,88.41,33,47.83,8,11.59,0,0.00
Bachelor of Technology (B.Tech.) in Electronics and Communication Engineering,fourth_year,231,7.25,7.37,204,88.31,145,62.77,52,22.51,9,3.90
Bachelor of Technology (B.Tech.) in Electronics and Instrumentation Engineering,fourth_year,77,6.57,6.59,59,76.62,24,31.17,1,1.30,0,0.00
Bachelor of Technology (B.Tech.) in Industrial Engineering,fourth_year,8,7.22,6.96,7,87.50,4,50.00,2,25.00,0,0.00
Bachelor of Technology (B.Tech.) in Mathematics and Computing,fourth_year,67,7.48,7.58,65,97.01,46,68.66,17,25.37,1,1.49
Bachelor of Technology (B.Tech.) in Mechanical Engineering,fourth_year,168,6.86,6.79,125,74.40,73,43.45,29,17.26,6,3.57
Bachelor of Technology (B.Tech.) in Mechatronics,fourth_year,137,6.98,6.93,114,83.21,65,47.45,21,15.33,2,1.46
Computer Science and Engineering ( Artificial Intelligence & Machine Learning ),fourth_year,172,7.46,7.54,147,85.47,119,69.19,68,39.53,13,7.56
Computer and Communication Engineering,fourth_year,250,7.44,7.64,227,90.80,172,68.80,83,33.20,12,4.80
Data Science & Engineering,fourth_year,163,7.57,7.72,151,92.64,118,72.39,66,40.49,5,3.07
Information Technology,fourth_year,231,7.44,7.55,203,87.88,153,66.23,83,35.93,16,6.93
B.Tech Civil Engineering (Dual Degree Program with Macquarie University),second_year,5,6.56,6.81,3,60.00,2,40.00,0,0.00,0,0.00
B.Tech Electrical & Electronics Engineering (Dual Degree Program with Macquarie University),second_year,8,5.67,5.91,4,50.00,1,12.50,0,0.00,0,0.00
Bachelor of Technology (B.Tech.) in Aeronautical Engineering,second_year,72,7.53,7.58,65,90.28,50,69.44,29,40.28,3,4.17
Bachelor of Technology (B.Tech.) in Automobile Engineering,second_year,25,6.33,6.12,15,60.00,10,40.00,3,12.00,0,0.00
