cohort_name,branch_name,cgpa_band,student_count,percentage_of_group
second_year,B.Tech Civil Engineering (Dual Degree Program with Macquarie University),7.0–7.99,2,40.00
second_year,B.Tech Civil Engineering (Dual Degree Program with Macquarie University),<6.0,2,40.00
second_year,B.Tech Civil Engineering (Dual Degree Program with Macquarie University),6.0–6.99,1,20.00
second_year,B.Tech Electrical & Electronics Engineering (Dual Degree Program with Macquarie University),6.0–6.99,3,37.50
second_year,B.Tech Electrical & Electronics Engineering (Dual Degree Program with Macquarie University),7.0–7.99,1,12.50
second_year,B.Tech Electrical & Electronics Engineering (Dual Degree Program with Macquarie University),<6.0,4,50.00
second_year,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,<6.0,7,9.72
second_year,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,8.0–8.99,26,36.11
second_year,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,6.0–6.99,15,20.83
second_year,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,7.0–7.99,21,29.17
second_year,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,9.0+,3,4.17
second_year,Bachelor of Technology (B.Tech.) in Automobile Engineering,8.0–8.99,3,12.00
second_year,Bachelor of Technology (B.Tech.) in Automobile Engineering,<6.0,10,40.00
second_year,Bachelor of Technology (B.Tech.) in Automobile Engineering,6.0–6.99,5,20.00
second_year,Bachelor of Technology (B.Tech.) in Automobile Engineering,7.0–7.99,7,28.00
second_year,Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,<6.0,9,23.68
second_year,Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,9.0+,3,7.89
second_year,Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,7.0–7.99,11,28.95
second_year,Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,6.0–6.99,10,26.32
second_year,Bachelor of Technology (B.Tech.) in Bio-Medical Engineering,8.0–8.99,5,13.16
second_year,Bachelor of Technology (B.Tech.) in Biotechnology,<6.0,7,10.61
second_year,Bachelor of Technology (B.Tech.) in Biotechnology,6.0–6.99,9,13.64
second_year,Bachelor of Technology (B.Tech.) in Biotechnology,7.0–7.99,20,30.30
second_year,Bachelor of Technology (B.Tech.) in Biotechnology,9.0+,6,9.09
second_year,Bachelor of Technology (B.Tech.) in Biotechnology,8.0–8.99,24,36.36
second_year,Bachelor of Technology (B.Tech.) in Chemical Engineering,<6.0,9,16.07
second_year,Bachelor of Technology (B.Tech.) in Chemical Engineering,7.0–7.99,23,41.07
second_year,Bachelor of Technology (B.Tech.) in Chemical Engineering,6.0–6.99,14,25.00
second_year,Bachelor of Technology (B.Tech.) in Chemical Engineering,8.0–8.99,9,16.07
second_year,Bachelor of Technology (B.Tech.) in Chemical Engineering,9.0+,1,1.79
second_year,Bachelor of Technology (B.Tech.) in Civil Engineering,<6.0,12,52.17
second_year,Bachelor of Technology (B.Tech.) in Civil Engineering,6.0–6.99,6,26.09
second_year,Bachelor of Technology (B.Tech.) in Civil Engineering,7.0–7.99,3,13.04
second_year,Bachelor of Technology (B.Tech.) in Civil Engineering,8.0–8.99,2,8.70
second_year,Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,<6.0,17,22.67
second_year,Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,6.0–6.99,15,20.00
second_year,Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,7.0–7.99,32,42.67
second_year,Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,8.0–8.99,9,12.00
second_year,Bachelor of Technology (B.Tech.) in Computer Science & Financial Technology,9.0+,2,2.67
second_year,Bachelor of Technology (B.Tech.) in Computer Science and Engineering,6.0–6.99,204,17.45
second_year,Bachelor of Technology (B.Tech.) in Computer Science and Engineering,8.0–8.99,383,32.76
second_year,Bachelor of Technology (B.Tech.) in Computer Science and Engineering,<6.0,98,8.38
second_year,Bachelor of Technology (B.Tech.) in Computer Science and Engineering,9.0+,88,7.53
second_year,Bachelor of Technology (B.Tech.) in Computer Science and Engineering,7.0–7.99,396,33.88
second_year,Bachelor of Technology (B.Tech.) in Cyber Physical Systems,8.0–8.99,17,12.06
second_year,Bachelor of Technology (B.Tech.) in Cyber Physical Systems,<6.0,22,15.60
second_year,Bachelor of Technology (B.Tech.) in Cyber Physical Systems,6.0–6.99,43,30.50
second_year,Bachelor of Technology (B.Tech.) in Cyber Physical Systems,7.0–7.99,56,39.72
second_year,Bachelor of Technology (B.Tech.) in Cyber Physical Systems,9.0+,3,2.13
second_year,Bachelor of Technology (B.Tech.) in Electrical and Electronics Engineering,9.0+,3,1.79
second_year,Bachelor of Technology (B.Tech.) in Electrical and Electronics Engineering,<6.0,22,13.10
second_year,Bachelor of Technology (B.Tech.) in Electrical and Electronics Engineering,6.0–6.99,49,29.17
second_year,Bachelor of Technology (B.Tech.) in Electrical and Electronics Engineering,7.0–7.99,67,39.88
second_year,Bachelor of Technology (B.Tech.) in Electrical and Electronics Engineering,8.0–8.99,27,16.07
second_year,Bachelor of Technology (B.Tech.) in Electronics Engineering (VLSI Design and Technology),6.0–6.99,13,17.81
second_year,Bachelor of Technology (B.Tech.) in Electronics Engineering (VLSI Design and Technology),7.0–7.99,26,35.62
second_year,Bachelor of Technology (B.Tech.) in Electronics Engineering (VLSI Design and Technology),<6.0,3,4.11
second_year,Bachelor of Technology (B.Tech.) in Electronics Engineering (VLSI Design and Technology),8.0–8.99,28,38.36
second_year,Bachelor of Technology (B.Tech.) in Electronics Engineering (VLSI Design and Technology),9.0+,3,4.11
second_year,Bachelor of Technology (B.Tech.) in Electronics and Communication Engineering,8.0–8.99,103,43.10
second_year,Bachelor of Technology (B.Tech.) in Electronics and Communication Engineering,<6.0,11,4.60
second_year,Bachelor of Technology (B.Tech.) in Electronics and Communication Engineering,7.0–7.99,62,25.94
second_year,Bachelor of Technology (B.Tech.) in Electronics and Communication Engineering,9.0+,44,18.41
second_year,Bachelor of Technology (B.Tech.) in Electronics and Communication Engineering,6.0–6.99,19,7.95
second_year,Bachelor of Technology (B.Tech.) in Electronics and Instrumentation Engineering,<6.0,10,20.41
second_year,Bachelor of Technology (B.Tech.) in Electronics and Instrumentation Engineering,6.0–6.99,16,32.65
second_year,Bachelor of Technology (B.Tech.) in Electronics and Instrumentation Engineering,7.0–7.99,16,32.65
second_year,Bachelor of Technology (B.Tech.) in Electronics and Instrumentation Engineering,9.0+,1,2.04
second_year,Bachelor of Technology (B.Tech.) in Electronics and Instrumentation Engineering,8.0–8.99,6,12.24
second_year,Bachelor of Technology (B.Tech.) in Industrial Engineering,<6.0,13,41.94
second_year,Bachelor of Technology (B.Tech.) in Industrial Engineering,7.0–7.99,3,9.68
second_year,Bachelor of Technology (B.Tech.) in Industrial Engineering,6.0–6.99,15,48.39
second_year,Bachelor of Technology (B.Tech.) in Mathematics and Computing,6.0–6.99,20,27.78
second_year,Bachelor of Technology (B.Tech.) in Mathematics and Computing,<6.0,8,11.11
second_year,Bachelor of Technology (B.Tech.) in Mathematics and Computing,7.0–7.99,23,31.94
second_year,Bachelor of Technology (B.Tech.) in Mathematics and Computing,8.0–8.99,18,25.00
second_year,Bachelor of Technology (B.Tech.) in Mathematics and Computing,9.0+,3,4.17
second_year,Bachelor of Technology (B.Tech.) in Mechanical Engineering,<6.0,29,13.24
second_year,Bachelor of Technology (B.Tech.) in Mechanical Engineering,7.0–7.99,78,35.62
second_year,Bachelor of Technology (B.Tech.) in Mechanical Engineering,6.0–6.99,60,27.40
second_year,Bachelor of Technology (B.Tech.) in Mechanical Engineering,8.0–8.99,42,19.18
second_year,Bachelor of Technology (B.Tech.) in Mechanical Engineering,9.0+,10,4.57
second_year,Bachelor of Technology (B.Tech.) in Mechatronics,<6.0,18,12.41
second_year,Bachelor of Technology (B.Tech.) in Mechatronics,7.0–7.99,59,40.69
second_year,Bachelor of Technology (B.Tech.) in Mechatronics,6.0–6.99,47,32.41
second_year,Bachelor of Technology (B.Tech.) in Mechatronics,8.0–8.99,17,11.72
second_year,Bachelor of Technology (B.Tech.) in Mechatronics,9.0+,4,2.76
second_year,Computer Science and Engineering ( Artificial Intelligence & Machine Learning ),<6.0,1,100.00
second_year,Computer and Communication Engineering,<6.0,3,100.00
second_year,Data Science & Engineering,<6.0,3,100.00
second_year,Information Technology,<6.0,1,100.00
second_year,Mechanical(Dual Degree Program with Deakin University),<6.0,5,55.56
second_year,Mechanical(Dual Degree Program with Deakin University),6.0–6.99,3,33.33
second_year,Mechanical(Dual Degree Program with Deakin University),7.0–7.99,1,11.11
second_year,Mechatronics (Dual Degree Program with Deakin University),<6.0,5,38.46
second_year,Mechatronics (Dual Degree Program with Deakin University),6.0–6.99,4,30.77
second_year,Mechatronics (Dual Degree Program with Deakin University),8.0–8.99,2,15.38
second_year,Mechatronics (Dual Degree Program with Deakin University),7.0–7.99,2,15.38
