student_id,program_name,cohort,cgpa
STU000003,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.67
STU000152,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.64
STU000153,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.21
STU000154,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.29
STU000156,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.55
STU001596,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.46
STU001597,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.75
STU001598,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.79
STU001599,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.62
STU001600,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.3
STU001601,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.38
STU001602,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.16
STU001603,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.94
STU001604,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.16
STU001605,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.64
STU001606,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.38
STU001607,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,9.28
STU001608,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.65
STU001609,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.49
STU001610,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.75
STU001611,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.92
STU001612,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.45
STU001613,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.78
STU001614,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.47
STU001615,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.96
STU001616,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.69
STU001617,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.76
STU001618,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.27
STU001619,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.45
STU001620,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,9.77
STU001621,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.82
STU001622,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.71
STU001623,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.0
STU001624,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.87
STU001625,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.32
STU001626,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,9.69
STU001627,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,9.55
STU001628,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.75
STU001629,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.26
STU001630,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.92
STU001631,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.34
STU001632,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,8.4
STU001633,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.64
STU001634,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.55
STU001635,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,6.89
STU001636,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,7.75
STU001637,Bachelor of Technology (B.Tech.) in Aeronautical Engineering,fourth_year,5.04
